"id","treatment_name","branch_scope","asset_urls","campaign_aliases","campaign_name","price_text","start_date","end_date","is_active","approval_status","fallback_message","notes","customer_price_approval_status","customer_price_text","starts_booking_intake","booking_treatments","dose","package_key","session_count","variant_key","quote_priority"
"promo-2026-07-09-vio-private-removal","VIO私密除毛","all","https://line-ai-live-demo.vercel.app/demo/promotions/summer-2026-07-09-to-07-20/vio-private-removal-1099.png","VIO私密除毛|私密除毛|VIO除毛|1099","2026/07/09-08/31 盛夏光采","1099","2026-07-09","2026-08-31","true","approved","活動內容仍會依館別、日期與現場評估調整；如果您想確認是否適用，我也可以再幫您整理給真人客服確認。","2026-07-09 summer campaign","approved","1099"
"promo-2026-07-09-pico-japanese-fiber","皮秒雷射+日式光纖","all","https://line-ai-live-demo.vercel.app/demo/promotions/summer-2026-07-09-to-07-20/pico-japanese-fiber-2499.png","皮秒|皮秒活動|皮秒雷射+日式光纖|日式光纖|2499","2026/07/09-08/31 盛夏光采","2499","2026-07-09","2026-08-31","true","approved","活動內容仍會依館別、日期與現場評估調整；如果您想確認是否適用，我也可以再幫您整理給真人客服確認。","2026-07-09 summer campaign","approved","2499"
"promo-2026-07-09-double-chin","雙下巴消脂","all","https://line-ai-live-demo.vercel.app/demo/promotions/summer-2026-07-09-to-07-20/double-chin-3999.png","雙下巴消脂|雙下巴|下巴消脂|3999","2026/07/09-08/31 盛夏光采","3999","2026-07-09","2026-08-31","true","approved","活動內容仍會依館別、日期與現場評估調整；如果您想確認是否適用，我也可以再幫您整理給真人客服確認。","2026-07-09 summer campaign","approved","3999"
"promo-2026-07-09-brightening-skinbooster","亮白水光(傳明酸)","all","https://line-ai-live-demo.vercel.app/demo/promotions/summer-2026-07-09-to-07-20/brightening-skinbooster-4999.png","亮白水光|傳明酸水光|亮白水光(傳明酸)|4999","2026/07/09-08/31 盛夏光采","4999","2026-07-09","2026-08-31","true","approved","活動內容仍會依館別、日期與現場評估調整；如果您想確認是否適用，我也可以再幫您整理給真人客服確認。","2026-07-09 summer campaign","approved","4999"
"promo-2026-07-09-tenthermage","十蓓電波200發","all","https://line-ai-live-demo.vercel.app/demo/promotions/summer-2026-07-09-to-07-20/tenthermage-200shots-9999.png","十蓓電波|十倍電波|十蓓電波200發|9999","2026/07/09-08/31 盛夏光采","9999","2026-07-09","2026-08-31","true","approved","活動內容仍會依館別、日期與現場評估調整；如果您想確認是否適用，我也可以再幫您整理給真人客服確認。","2026-07-09 summer campaign","approved","9999"
"promo-2026-07-09-underarm-removal","腋下除毛","all","https://line-ai-live-demo.vercel.app/demo/promotions/summer-2026-07-09-to-07-20/underarm-removal-499.png","腋下除毛|除毛|腋下除毛499|499","2026/07/09-08/31 盛夏光采","499","2026-07-09","2026-08-31","true","approved","活動內容仍會依館別、日期與現場評估調整；如果您想確認是否適用，我也可以再幫您整理給真人客服確認。","2026-07-09 summer campaign","approved","499"
"promo-2026-07-09-hydrafacial","水飛梭","all","https://line-ai-live-demo.vercel.app/demo/promotions/summer-2026-07-09-to-07-20/hydrafacial-999.png","水飛梭|水飛梭999|999","2026/07/09-08/31 盛夏光采","999","2026-07-09","2026-08-31","true","approved","活動內容仍會依館別、日期與現場評估調整；如果您想確認是否適用，我也可以再幫您整理給真人客服確認。","2026-07-09 summer campaign","approved","999"
"promo-2026-07-09-botox-wrinkle","肉毒除皺","all","https://line-ai-live-demo.vercel.app/demo/promotions/summer-2026-07-09-to-07-20/botox-wrinkle-999.png","肉毒|肉毒除皺|肉毒12U|12U999|999","2026/07/09-08/31 盛夏光采","肉毒 12U 999 元","2026-07-09","2026-08-31","true","approved","品牌方案價格請由真人客服於上班時間協助確認。","clinic-approved generic offer; customer copy intentionally omits brand and dose","approved","肉毒體驗價 999 元","false","肉毒","","","",""
"promo-2026-07-09-mandelic-pore","杏仁酸+毛孔管理","all","https://line-ai-live-demo.vercel.app/demo/promotions/summer-2026-07-09-to-07-20/mandelic-pore-999.png","杏仁酸|毛孔管理|杏仁酸+毛孔管理|999","2026/07/09-08/31 盛夏光采","999","2026-07-09","2026-08-31","true","approved","活動內容仍會依館別、日期與現場評估調整；如果您想確認是否適用，我也可以再幫您整理給真人客服確認。","2026-07-09 summer campaign","approved","999"
"promo-2026-08-05-onda-pro","ONDA PRO","all","","ONDA|ONDA PRO|超微波|ONDA體驗價|ONDA活動|ONDA優惠|16888|16,888","2026 ONDA PRO 體驗方案","體驗價 16,888","2026-08-05","2026-12-31","true","approved","😊 想先了解哪個部位呢？我可以協助安排諮詢。","approved_price_and_validity_from_clinic_2026-08-05","approved","體驗價 16,888","","","","","","","10"
"promo-2026-08-face-contour-combo","臉部輪廓組合","all","","臉部輪廓組合|ONDA雙下巴|ONDA嘴邊肉|雙下巴方案|嘴邊肉方案|12999|12,999","2026 ONDA Pro＋肉毒小臉方案","ONDA＋肉毒小臉組合 12,999元","2026-08-01","2026-08-31","true","approved","😊 預約諮詢是免費的，可以先來了解看看適不適合自己～請問您平日還是假日比較方便呢？","clinic-approved customer copy intentionally omits brand, dose and treatment duration","approved","ONDA＋肉毒小臉組合 12,999 元","true","ONDA PRO|肉毒"
"promo-2026-anniv-vio","VIO／私密除毛","all","","VIO|VIO除毛|私密除毛|周年慶VIO","115周年慶｜VIO私密除毛","周年慶活動價 1,099 元／堂","2026-09-01","2026-11-30","true","approved","實際療程方式依現場狀況確認；可以先幫您安排免費諮詢。","Notion approved 2026-09-02","approved","周年慶活動價 1,099 元／堂","true","VIO／私密除毛","","","",""
"promo-2026-anniv-underarm","除毛","all","","腋下除毛|周年慶腋下除毛|腋下499","115周年慶｜腋下除毛","周年慶活動價 499 元／堂","2026-09-01","2026-11-30","true","approved","實際療程方式依現場狀況確認；可以先幫您安排免費諮詢。","Notion approved 2026-09-02","approved","周年慶活動價 499 元／堂","true","除毛","","","","腋下"
"promo-2026-anniv-botox-10u","肉毒","all","","肉毒|奇蹟肉毒|優力柔|周年慶肉毒|肉毒999","115周年慶｜奇蹟肉毒一區","周年慶活動價 999 元／一區 10U","2026-09-01","2026-11-30","true","approved","實際適合的部位與規劃由醫師評估；可以先幫您安排免費諮詢。","Notion approved 2026-09-02; primary generic Botox offer","approved","周年慶活動價 999 元／一區 10U","true","肉毒","","","","","100"
"promo-2026-anniv-botox-100u","肉毒","all","","韓系肉毒100U|肉毒100U|周年慶肉毒100U","115周年慶｜韓系肉毒100U","周年慶活動價 9,999 元／100U","2026-09-01","2026-11-30","true","approved","實際適合的部位與規劃由醫師評估；可以先幫您安排免費諮詢。","Notion approved 2026-09-02","approved","周年慶活動價 9,999 元／100U","true","肉毒","100U","","",""
"promo-2026-anniv-pico-honeycomb","探索皮秒","all","","皮秒蜂巢|蜂巢皮秒|皮秒雷射加蜂巢|周年慶皮秒","115周年慶｜皮秒蜂巢全臉","周年慶活動價 3,999 元／堂","2026-09-01","2026-11-30","true","approved","實際適合方向由醫師依膚況現場確認；可以先幫您安排免費諮詢。","Notion approved 2026-09-02","approved","周年慶活動價 3,999 元／堂","true","探索皮秒","","","",""
"promo-2026-anniv-tenthermage-eye-300","十蓓眼周探頭","all","","十蓓電波眼周|十倍電波眼周|眼周300發|周年慶眼周電波","115周年慶｜十蓓電波眼周300發","周年慶活動價 18,888 元／300 發","2026-09-01","2026-11-30","true","approved","實際施作仍依眼周狀況由醫師確認；可以先幫您安排免費諮詢。","Notion approved 2026-09-02","approved","周年慶活動價 18,888 元／300 發","true","十蓓眼周探頭","","","",""
"promo-2026-anniv-tenthermage-200","十蓓電波","all","","十蓓電波|十倍電波|十蓓200發|周年慶十蓓","115周年慶｜十蓓電波緊膚200發","周年慶活動價 8,999 元／200 發","2026-09-01","2026-11-30","true","approved","實際施作範圍依現場評估；可以先幫您安排免費諮詢。","Notion approved 2026-09-02; primary generic Ten Thermage offer","approved","周年慶活動價 8,999 元／200 發","true","十蓓電波","","","",""
"promo-2026-anniv-tenthermage-900-teosyal1","十蓓電波","all","","十蓓900發加緹奧希1號|十蓓緊膚組合|59999","115周年慶｜十蓓900發＋緹奧希1號","周年慶活動價 59,999 元／組合","2026-09-01","2026-11-30","true","approved","實際內容依現場狀況確認；可以先幫您安排免費諮詢。","Notion approved 2026-09-02","approved","周年慶活動價 59,999 元／組合","true","十蓓電波|緹奧希 1–3 號","","900發＋緹奧希1號","",""
"promo-2026-anniv-qplus-200","Q+音波","all","","Q+音波|Q音波|Q+200條|周年慶Q+","115周年慶｜Q+音波200條","周年慶活動價 7,999 元／200 條","2026-09-01","2026-11-30","true","approved","實際施作部位依現場評估；可以先幫您安排免費諮詢。","Notion approved 2026-09-02","approved","周年慶活動價 7,999 元／200 條","true","Q+音波","","","",""
"promo-2026-anniv-ultherapy-200-botox40","美國音波 2.0","all","","美國音波二代200條加肉毒40U|美音200加肉毒40|29999","115周年慶｜美音200條＋肉毒40U","周年慶活動價 29,999 元／組合","2026-09-01","2026-11-30","true","approved","實際內容依現場狀況確認；可以先幫您安排免費諮詢。","Notion approved 2026-09-02; primary generic US ultrasound plus Botox offer","approved","周年慶活動價 29,999 元／組合","true","美國音波 2.0|肉毒","","","",""
"promo-2026-anniv-ultherapy-500-botox100","美國音波 2.0","all","","美國音波二代500條加肉毒100U|美音500加肉毒100|74999","115周年慶｜美音500條＋肉毒100U","周年慶活動價 74,999 元／組合","2026-09-01","2026-11-30","true","approved","實際內容依現場狀況確認；可以先幫您安排免費諮詢。","Notion approved 2026-09-02","approved","周年慶活動價 74,999 元／組合","true","美國音波 2.0|肉毒","","500條＋100U","",""
"promo-2026-anniv-ultherapy-1000-botox200-onda","美國音波 2.0","all","","美國音波二代1000條加肉毒200U加ONDA|美音1000肉毒200ONDA|149999","115周年慶｜美音1000條＋肉毒200U＋ONDA","周年慶活動價 149,999 元／組合","2026-09-01","2026-11-30","true","approved","實際內容依現場狀況確認；可以先幫您安排免費諮詢。","Notion approved 2026-09-02","approved","周年慶活動價 149,999 元／組合","true","美國音波 2.0|肉毒|ONDA PRO","","1000條＋200U＋ONDA","",""
